threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,2.900,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,6.100,0.045,1.000,1,600.200,4.479,0.000,1.000,0,0.000,0.000,0.045,1.000,1,600.200,4.479
3,9.100,0.144,1.000,7,2895.900,14.410,0.000,1.000,0,0.000,0.000,0.144,1.000,7,2895.900,14.410
4,13.600,0.201,1.000,3,5397.400,20.143,0.000,1.000,0,0.000,0.000,0.201,1.000,3,5397.400,20.143
5,18.800,0.212,1.001,8,7090.200,21.166,0.000,1.001,0,0.000,0.000,0.212,1.001,8,7090.200,21.166
6,25.000,0.229,1.001,35,9176.700,22.828,0.000,1.001,0,0.000,0.000,0.229,1.001,35,9176.700,22.828
7,33.800,0.236,1.002,8,11069.400,23.604,0.000,1.002,0,0.000,0.000,0.236,1.002,8,11069.400,23.604
8,41.200,0.251,1.003,5,13425.800,25.049,0.000,1.003,0,0.000,0.000,0.251,1.003,5,13425.800,25.049
9,46.800,0.255,1.003,2,15309.900,25.390,0.000,1.003,0,0.000,0.000,0.255,1.003,2,15309.900,25.390
10,55.900,0.273,1.005,3,18173.900,27.126,0.000,1.005,0,0.000,0.000,0.273,1.005,3,18173.900,27.126
11,64.600,0.293,1.009,4,21384.800,29.017,0.000,1.009,0,0.000,0.000,0.293,1.009,4,21384.800,29.017
12,72.300,0.296,1.011,45,23545.600,29.286,0.000,1.011,0,0.000,0.000,0.296,1.011,45,23545.600,29.286
13,81.100,0.301,1.013,4,25902.900,29.740,0.000,1.013,0,0.000,0.000,0.301,1.013,4,25902.900,29.740
14,90.200,0.307,1.016,6,28366.800,30.242,0.000,1.016,0,0.000,0.000,0.307,1.016,6,28366.800,30.242
15,99.100,0.313,1.017,4,30937.900,30.785,0.000,1.017,0,0.000,0.000,0.313,1.017,4,30937.900,30.785
16,109.500,0.316,1.020,24,33213.200,30.984,0.000,1.020,0,0.000,0.000,0.316,1.020,24,33213.200,30.984
17,129.200,0.312,1.075,5394,33029.000,29.000,0.000,1.075,0,0.000,0.000,0.312,1.075,5394,33029.000,29.000
18,142.800,0.296,1.034,1363,34476.800,28.589,0.000,1.034,0,0.000,0.000,0.296,1.034,1363,34476.800,28.589
19,165.500,0.310,1.067,5746,37010.000,29.075,0.000,1.067,0,0.000,0.000,0.310,1.067,5746,37010.000,29.075
20,173.800,0.314,1.073,8463,39302.000,29.331,0.000,1.073,0,0.000,0.000,0.314,1.073,8463,39302.000,29.331
21,191.100,0.304,1.035,5595,41363.200,29.400,0.000,1.035,0,0.000,0.000,0.304,1.035,5595,41363.200,29.400
22,193.200,0.312,1.057,7261,43593.200,29.576,0.000,1.057,0,0.000,0.000,0.312,1.057,7261,43593.200,29.576
23,211.800,0.318,1.063,7461,46064.700,29.894,0.000,1.063,0,0.000,0.000,0.318,1.063,7461,46064.700,29.894
24,241.700,0.331,1.100,7784,48375.300,30.085,0.000,1.100,0,0.000,0.000,0.331,1.100,7784,48375.300,30.085
25,255.900,0.328,1.088,7579,50562.500,30.187,0.000,1.088,0,0.000,0.000,0.328,1.088,7579,50562.500,30.187
26,284.600,0.333,1.091,5549,53183.800,30.531,0.000,1.091,0,0.000,0.000,0.333,1.091,5549,53183.800,30.531
27,301.300,0.342,1.104,6688,56119.700,31.023,0.000,1.104,0,0.000,0.000,0.342,1.104,6688,56119.700,31.023
28,327.200,0.355,1.139,6500,58421.600,31.142,0.000,1.139,0,0.000,0.000,0.355,1.139,6500,58421.600,31.142
29,360.500,0.349,1.101,6079,61509.300,31.658,0.000,1.101,0,0.000,0.000,0.349,1.101,6079,61509.300,31.658
30,366.100,0.362,1.139,5954,63920.600,31.802,0.000,1.139,0,0.000,0.000,0.362,1.139,5954,63920.600,31.802
31,402.100,0.355,1.110,5677,66333.000,31.938,0.000,1.110,0,0.000,0.000,0.355,1.110,5677,66333.000,31.938
32,438.900,0.353,1.099,4137,68855.900,32.117,0.000,1.099,0,0.000,0.000,0.353,1.099,4137,68855.900,32.117
