threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,3.900,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,8.200,0.010,1.000,1,190.200,0.951,0.000,1.000,0,0.000,0.000,0.010,1.000,1,190.200,0.951
3,12.800,0.081,1.000,2,2438.200,8.127,0.000,1.000,0,0.000,0.000,0.081,1.000,2,2438.200,8.127
4,16.200,0.135,1.000,2,5385.900,13.465,0.000,1.000,0,0.000,0.000,0.135,1.000,2,5385.900,13.465
5,20.200,0.150,1.001,4,7478.400,14.957,0.000,1.001,0,0.000,0.000,0.150,1.001,4,7478.400,14.957
6,24.000,0.190,1.002,3,11349.300,18.916,0.000,1.002,0,0.000,0.000,0.190,1.002,3,11349.300,18.916
7,30.200,0.202,1.006,2,14027.400,20.039,0.000,1.006,0,0.000,0.000,0.202,1.006,2,14027.400,20.039
8,34.400,0.220,1.017,3,17279.400,21.599,0.000,1.017,0,0.000,0.000,0.220,1.017,3,17279.400,21.599
9,38.500,0.215,1.028,3,18867.500,20.964,0.000,1.028,0,0.000,0.000,0.215,1.028,3,18867.500,20.964
10,43.400,0.242,1.037,3,23363.200,23.363,0.000,1.037,0,0.000,0.000,0.242,1.037,3,23363.200,23.363
11,47.300,0.253,1.047,60,26593.900,24.176,0.000,1.047,0,0.000,0.000,0.253,1.047,60,26593.900,24.176
12,52.200,0.269,1.053,4,30663.300,25.553,0.000,1.053,0,0.000,0.000,0.269,1.053,4,30663.300,25.553
13,59.300,0.282,1.059,4,34565.600,26.589,0.000,1.059,0,0.000,0.000,0.282,1.059,4,34565.600,26.589
14,64.900,0.290,1.067,39,38064.000,27.189,0.000,1.067,0,0.000,0.000,0.290,1.067,39,38064.000,27.189
15,68.200,0.306,1.081,95,42415.900,28.277,0.000,1.081,0,0.000,0.000,0.306,1.081,95,42415.900,28.277
16,72.500,0.329,1.091,9,48148.700,30.093,0.000,1.091,0,0.000,0.000,0.329,1.091,9,48148.700,30.093
17,89.200,0.306,1.100,6827,47303.900,27.826,0.000,1.100,0,0.000,0.000,0.306,1.100,6827,47303.900,27.826
18,122.100,0.298,1.133,8556,47338.600,26.299,0.000,1.133,0,0.000,0.000,0.298,1.133,8556,47338.600,26.299
19,138.400,0.301,1.156,10701,49588.200,26.099,0.000,1.156,0,0.000,0.000,0.301,1.156,10701,49588.200,26.099
20,142.100,0.290,1.133,10979,51266.200,25.633,0.000,1.133,0,0.000,0.000,0.290,1.133,10979,51266.200,25.633
21,144.300,0.292,1.116,10985,54896.700,26.141,0.000,1.116,0,0.000,0.000,0.292,1.116,10985,54896.700,26.141
22,153.300,0.311,1.172,11155,58329.100,26.513,0.000,1.172,0,0.000,0.000,0.311,1.172,11155,58329.100,26.513
23,167.500,0.303,1.151,11231,60549.900,26.326,0.000,1.151,0,0.000,0.000,0.303,1.151,11231,60549.900,26.326
24,173.300,0.316,1.184,10086,64023.100,26.676,0.000,1.184,0,0.000,0.000,0.316,1.184,10086,64023.100,26.676
25,195.100,0.340,1.283,27770,66343.100,26.537,0.000,1.283,0,0.000,0.000,0.340,1.283,27770,66343.100,26.537
26,224.700,0.331,1.240,11089,69535.800,26.745,0.000,1.240,0,0.000,0.000,0.331,1.240,11089,69535.800,26.745
27,234.100,0.331,1.217,11070,73305.100,27.150,0.000,1.217,0,0.000,0.000,0.331,1.217,11070,73305.100,27.150
28,243.700,0.321,1.167,11216,77094.400,27.534,0.000,1.167,0,0.000,0.000,0.321,1.167,11216,77094.400,27.534
29,259.900,0.359,1.297,11095,80229.400,27.665,0.000,1.297,0,0.000,0.000,0.359,1.297,11095,80229.400,27.665
30,275.700,0.332,1.196,11070,83386.100,27.795,0.000,1.196,0,0.000,0.000,0.332,1.196,11070,83386.100,27.795
31,328.500,0.321,1.176,9011,84678.800,27.316,0.000,1.176,0,0.000,0.000,0.321,1.176,9011,84678.800,27.316
32,382.700,0.333,1.223,12405,87247.600,27.265,0.000,1.223,0,0.000,0.000,0.333,1.223,12405,87247.600,27.265
