threads,avg_ms,ins_mean,ins_max,ins_count_avg,ins_pct_avg,deq_mean,deq_max,deq_count_avg,deq_pct_avg,e2e_mean,e2e_max,e2e_count_avg,e2e_pct_avg
1,2.300,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000
2,3.400,0.018,207,159.900,1.599,0.000,0,0.000,0.000,0.018,207,159.900,1.599
3,4.000,0.096,2,955.800,9.559,0.000,0,0.000,0.000,0.096,2,955.800,9.559
4,4.000,0.136,2,1358.300,13.583,0.000,0,0.000,0.000,0.136,2,1358.300,13.583
5,4.800,0.145,2,1445.700,14.457,0.000,0,0.000,0.000,0.145,2,1445.700,14.457
6,5.000,0.168,2,1676.900,16.776,0.000,0,0.000,0.000,0.168,2,1676.900,16.776
7,6.000,0.193,14,1920.900,19.217,0.000,0,0.000,0.000,0.193,14,1920.900,19.217
8,6.000,0.199,2,1984.500,19.845,0.000,0,0.000,0.000,0.199,2,1984.500,19.845
9,6.800,0.207,3,2059.100,20.593,0.000,0,0.000,0.000,0.207,3,2059.100,20.593
10,7.000,0.222,4,2205.100,22.051,0.000,0,0.000,0.000,0.222,4,2205.100,22.051
11,7.100,0.214,15,2121.800,21.220,0.000,0,0.000,0.000,0.214,15,2121.800,21.220
12,7.700,0.231,4,2261.900,22.628,0.000,0,0.000,0.000,0.231,4,2261.900,22.628
13,8.000,0.240,5,2341.800,23.425,0.000,0,0.000,0.000,0.240,5,2341.800,23.425
14,8.000,0.251,7,2425.700,24.267,0.000,0,0.000,0.000,0.251,7,2425.700,24.267
15,8.000,0.268,5,2572.300,25.749,0.000,0,0.000,0.000,0.268,5,2572.300,25.749
16,8.100,0.260,8,2499.100,24.991,0.000,0,0.000,0.000,0.260,8,2499.100,24.991
