threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,2.600,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,4.200,0.022,1.076,79,279.900,2.089,0.000,1.088,42,0.600,0.004,0.022,1.088,79,280.000,2.090
3,6.200,0.272,1.580,39,3469.800,17.263,0.000,1.580,1,0.300,0.001,0.272,1.580,39,3469.700,17.262
4,8.700,0.677,2.457,4368,7568.100,28.239,0.024,2.428,1930,444.700,1.659,0.654,2.428,3691,7410.400,27.651
5,10.900,1.137,3.096,6324,12349.800,36.865,0.018,3.187,6023,5.900,0.018,1.155,3.187,6323,12349.400,36.864
6,15.000,1.295,3.534,8342,14447.300,35.939,0.011,3.486,1,446.400,1.110,1.284,3.486,8342,14446.400,35.936
7,16.800,1.976,4.189,1128,22092.300,47.105,0.000,4.189,8,12.100,0.026,1.975,4.189,1128,22091.800,47.104
8,19.400,2.425,4.714,7556,27573.900,51.444,0.001,4.713,7,33.100,0.062,2.424,4.713,7556,27573.700,51.443
9,23.600,2.817,5.930,17047,28915.200,47.952,0.028,5.862,13,1674.300,2.777,2.789,5.862,17047,28915.200,47.952
10,26.100,3.181,6.220,20419,34359.200,51.282,0.000,6.220,17,20.400,0.030,3.181,6.220,20419,34358.900,51.282
11,29.300,3.643,6.870,19399,39306.200,53.333,0.003,6.866,4,191.400,0.260,3.641,6.866,19399,39305.500,53.332
12,32.300,4.113,7.259,26159,45679.300,56.815,0.034,7.235,9019,1826.100,2.271,4.101,7.235,26159,45679.100,56.815
13,38.100,4.672,8.128,29595,50775.900,58.296,0.016,8.092,24,1366.900,1.569,4.657,8.092,29595,50775.300,58.295
14,40.000,5.167,8.101,2045,59827.700,63.782,0.000,8.101,77,21.500,0.023,5.167,8.101,2045,59827.000,63.781
15,45.200,5.816,9.249,25818,63447.500,63.132,0.001,9.248,44,87.200,0.087,5.815,9.248,25818,63447.300,63.132
16,50.200,6.437,10.022,32207,69295.400,64.641,0.035,10.034,18468,1525.200,1.423,6.444,10.034,32207,69294.000,64.640
17,53.200,6.947,11.086,25322,71434.400,62.717,0.009,11.084,1616,584.000,0.513,6.946,11.084,25322,71435.600,62.718
18,55.700,7.301,11.884,16047,74092.500,61.437,0.053,11.818,4851,5613.100,4.654,7.261,11.818,16047,74095.600,61.439
19,57.100,8.075,13.613,34002,75716.900,59.479,0.064,13.656,8781,3557.100,2.794,8.069,13.656,34002,75389.400,59.222
20,60.800,8.304,13.884,26173,80195.800,59.848,0.087,13.809,6295,8046.100,6.005,8.261,13.809,26173,80201.300,59.852
21,66.800,8.938,16.063,38423,78417.400,55.734,0.101,15.969,6777,10422.100,7.407,8.888,15.969,38423,78425.100,55.739
22,68.400,9.685,16.572,35760,86408.800,58.622,0.120,16.487,9584,12096.900,8.207,9.632,16.487,35760,86414.800,58.626
23,70.500,10.415,16.728,25548,95915.600,62.242,0.188,16.604,8457,20110.700,13.050,10.338,16.604,25547,95923.500,62.248
24,77.600,11.233,18.271,53063,99161.900,61.668,0.139,18.119,8322,18086.800,11.248,11.141,18.119,53063,99171.200,61.674
25,81.200,11.903,19.796,45986,100943.000,60.264,0.178,19.630,7300,21218.700,12.668,11.811,19.630,45986,100955.200,60.272
26,83.100,12.409,20.166,35683,107340.400,61.619,0.194,19.982,11362,25062.800,14.387,12.298,19.982,35683,107353.500,61.627
27,88.400,12.858,20.963,42483,111154.300,61.445,0.163,20.796,8118,22945.100,12.684,12.755,20.796,42483,111164.500,61.451
28,93.200,13.879,22.690,44362,115043.200,61.324,0.224,22.493,8260,30693.700,16.361,13.762,22.493,44362,115058.000,61.332
29,96.800,14.915,24.097,40940,120556.300,62.046,0.226,23.886,8139,29048.700,14.950,14.791,23.886,40940,120575.000,62.056
30,98.600,15.905,24.132,37054,132454.000,65.898,0.299,23.866,7153,45355.600,22.565,15.731,23.866,37054,132466.800,65.904
31,103.300,17.341,25.754,29582,139839.100,67.327,0.232,25.576,9738,33536.400,16.147,17.223,25.576,29583,139852.000,67.334
32,107.400,18.380,26.972,32923,146067.600,68.129,0.251,26.733,9233,42283.400,19.722,18.219,26.733,32923,146080.200,68.134
