threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,3.900,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,5.300,0.001,1.097,18,25.900,0.130,0.000,1.097,0,0.000,0.000,0.001,1.097,18,25.900,0.130
3,6.100,0.037,1.045,9,1055.100,3.517,0.000,1.045,2,0.500,0.002,0.037,1.045,9,1055.600,3.519
4,9.100,0.448,1.862,67,9625.600,24.064,0.000,1.862,6,0.700,0.002,0.448,1.862,67,9625.800,24.065
5,11.100,0.767,2.598,54,14682.800,29.366,0.000,2.598,6,0.700,0.001,0.767,2.598,54,14683.200,29.366
6,14.000,0.770,2.616,56,17638.300,29.397,0.000,2.616,5,0.700,0.001,0.770,2.616,56,17638.800,29.398
7,17.000,0.817,2.737,96,20886.500,29.838,0.000,2.737,28,1.400,0.002,0.817,2.737,96,20886.700,29.838
8,20.000,0.853,2.752,103,24778.700,30.973,0.000,2.752,8,0.700,0.001,0.853,2.752,103,24778.900,30.974
9,23.000,0.812,2.820,142,25919.100,28.799,0.000,2.820,8,1.700,0.002,0.812,2.820,142,25919.500,28.799
10,26.000,0.807,2.745,193,29408.000,29.408,0.000,2.745,15,1.000,0.001,0.807,2.745,193,29408.700,29.409
11,29.100,0.854,2.819,164,33345.900,30.314,0.000,2.819,4,1.300,0.001,0.854,2.819,164,33346.700,30.315
12,33.000,0.891,2.902,197,36833.700,30.695,0.000,2.902,4,1.900,0.002,0.891,2.902,197,36834.600,30.695
13,36.100,0.830,2.764,134,39004.400,30.003,0.000,2.764,5,1.500,0.001,0.830,2.764,134,39004.900,30.004
14,40.100,0.796,2.696,161,41314.600,29.510,0.000,2.696,5,1.800,0.001,0.796,2.696,161,41315.400,29.511
15,43.700,0.810,2.697,144,45046.400,30.031,0.000,2.697,2,1.300,0.001,0.810,2.697,144,45046.900,30.031
16,47.000,0.809,2.698,9376,47942.300,29.964,0.000,2.698,3,1.900,0.001,0.809,2.698,9376,47942.800,29.964
17,54.300,0.870,3.009,4356,49126.200,28.898,0.003,3.018,214,12.700,0.007,0.872,3.018,4356,49133.100,28.902
18,57.300,0.911,3.281,7607,49992.900,27.774,0.008,3.309,849,27.600,0.015,0.919,3.309,7607,50008.500,27.783
19,59.600,0.951,3.510,11049,51428.800,27.068,0.011,3.547,656,44.700,0.024,0.961,3.547,11049,51454.900,27.082
20,62.600,1.067,3.719,14137,57393.100,28.697,0.015,3.769,4313,54.100,0.027,1.082,3.769,14136,57424.100,28.712
21,65.900,1.218,4.145,10062,61691.800,29.377,0.020,4.207,3790,69.800,0.033,1.237,4.207,10062,61731.300,29.396
22,69.600,1.250,4.306,3488,63852.600,29.024,0.023,4.380,845,88.500,0.040,1.272,4.380,3488,63902.800,29.047
23,73.100,1.301,4.513,3060,66302.600,28.827,0.026,4.594,586,113.700,0.049,1.326,4.594,3060,66365.600,28.855
24,76.800,1.315,4.627,7088,68220.500,28.425,0.027,4.714,413,131.400,0.055,1.342,4.714,7088,68296.700,28.457
25,81.100,1.355,4.785,3441,70766.700,28.307,0.029,4.878,462,158.200,0.063,1.383,4.878,3441,70863.200,28.345
26,84.400,1.409,4.937,4061,74216.300,28.545,0.031,5.034,475,179.200,0.069,1.439,5.034,4061,74319.800,28.585
27,88.700,1.427,5.013,3379,76772.600,28.434,0.032,5.111,313,200.300,0.074,1.457,5.111,3379,76893.100,28.479
28,93.100,1.445,5.106,3592,79192.700,28.283,0.034,5.212,398,220.000,0.079,1.477,5.212,3592,79317.700,28.328
29,97.100,1.467,5.199,9167,81774.800,28.198,0.033,5.301,375,230.400,0.079,1.498,5.301,9167,81909.500,28.245
30,101.900,1.480,5.284,3859,84008.400,28.003,0.033,5.388,335,252.900,0.084,1.512,5.388,3859,84157.200,28.052
31,105.900,1.550,5.446,5352,88226.300,28.460,0.035,5.551,400,267.200,0.086,1.583,5.551,5352,88383.400,28.511
32,110.300,1.506,5.358,5132,89902.200,28.094,0.033,5.461,506,274.700,0.086,1.538,5.461,5132,90066.000,28.146
