threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,2.900,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,4.800,0.002,3.861,199,4.900,0.025,0.003,1.604,2,58.800,0.294,0.004,1.604,199,63.300,0.317
3,6.400,0.011,1.102,87,302.500,1.008,0.017,1.044,56,506.500,1.688,0.028,1.044,86,807.600,2.692
4,8.900,0.499,2.218,110,9001.300,22.503,0.034,2.095,28,1261.700,3.154,0.533,2.095,109,10222.400,25.556
5,11.200,0.925,2.792,197,16581.500,33.163,0.049,2.647,10,2201.300,4.403,0.973,2.647,198,18518.800,37.038
6,15.200,1.326,3.261,964,24481.200,40.802,0.055,3.133,12,2623.300,4.372,1.380,3.133,964,26610.900,44.351
7,18.300,1.652,3.704,1235,31344.200,44.777,0.132,3.493,34,6551.300,9.359,1.780,3.493,1237,36005.000,51.436
8,21.700,2.009,4.040,903,39755.400,49.694,0.113,3.910,163,5610.900,7.014,2.118,3.910,903,43498.200,54.373
9,24.400,2.462,5.204,11474,42559.400,47.288,0.084,5.080,24,4443.500,4.937,2.542,5.080,11474,45199.000,50.221
10,27.300,2.812,5.913,11251,47539.700,47.540,0.119,5.681,35,7166.000,7.166,2.926,5.681,11251,51743.100,51.743
11,32.600,3.128,6.195,3492,55489.500,50.445,0.218,5.862,3447,12967.700,11.789,3.336,5.862,3501,63203.700,57.458
12,36.000,3.584,6.702,13861,64152.400,53.460,0.261,6.426,44,14126.900,11.772,3.830,6.426,13901,71989.400,59.991
13,40.100,4.065,7.135,3152,74006.000,56.928,0.215,6.954,37,11503.400,8.849,4.266,6.954,3152,80028.900,61.561
14,44.200,4.539,7.569,12372,83836.700,59.883,0.262,7.411,64,13970.100,9.979,4.784,7.411,12372,90878.400,64.913
15,48.700,5.112,8.158,181,93946.000,62.631,0.153,8.038,36,8548.300,5.699,5.254,8.038,181,98266.100,65.511
16,53.800,5.383,8.326,12814,103293.200,64.558,0.451,8.237,35,21102.600,13.189,5.805,8.237,12814,113017.700,70.636
