threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,32.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,51.700,0.000,1.646,46,36.800,0.018,0.000,1.641,3,0.700,0.000,0.000,1.641,46,37.500,0.019
3,67.200,0.044,1.050,61,12720.100,4.232,0.000,1.050,3,2.100,0.001,0.044,1.050,61,12722.100,4.232
4,97.400,0.449,1.856,64,96852.600,24.165,0.000,1.856,53,4.700,0.001,0.449,1.856,64,96855.500,24.166
5,125.700,0.800,2.591,84,154754.800,30.889,0.000,2.591,59,6.000,0.001,0.800,2.591,84,154756.800,30.890
6,151.300,0.827,2.686,102,185155.700,30.798,0.000,2.686,26,4.600,0.001,0.827,2.686,102,185157.100,30.798
7,177.700,0.716,2.589,112,193551.200,27.595,0.000,2.589,4,6.200,0.001,0.716,2.589,112,193554.300,27.595
8,221.200,0.793,2.671,383,237903.200,29.679,0.000,2.671,16,9.200,0.001,0.793,2.671,383,237907.700,29.679
9,253.600,0.594,2.481,192,215692.300,23.918,0.000,2.481,4,10.800,0.001,0.594,2.481,192,215697.500,23.919
10,289.300,0.528,2.300,151,230229.400,22.977,0.000,2.300,49,13.600,0.001,0.529,2.300,151,230236.200,22.978
11,330.000,0.493,2.239,161,242539.500,22.005,0.000,2.239,30,14.200,0.001,0.493,2.239,161,242547.000,22.006
12,369.300,0.475,2.193,136,260560.200,21.670,0.000,2.193,66,14.700,0.001,0.475,2.193,136,260570.700,21.671
13,410.000,0.467,2.164,175,280997.100,21.572,0.000,2.164,14,17.300,0.001,0.467,2.164,175,281004.900,21.573
14,449.200,0.466,2.156,205,303190.400,21.613,0.000,2.156,41,17.800,0.001,0.466,2.156,205,303200.500,21.614
15,488.200,0.465,2.148,194,325065.900,21.628,0.000,2.148,4,16.400,0.001,0.465,2.148,194,325075.600,21.628
16,569.400,0.445,2.112,1184,337695.100,21.064,0.000,2.112,15,17.900,0.001,0.445,2.112,1184,337704.100,21.064
