threads,avg_ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count_avg,enq_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg
1,2.200,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,6.000,0.068,1.005,41,900.200,6.718,0.001,1.994,2,7.200,0.065
3,10.000,0.167,1.000,3,3362.300,16.728,0.001,2.980,3,6.600,0.042
4,14.800,0.213,1.000,8,5707.300,21.296,0.001,1.990,5,3.500,0.017
5,20.700,0.242,1.001,2,8103.900,24.191,0.001,3.223,5,4.800,0.019
6,26.800,0.240,1.001,4,9641.800,23.985,0.000,1.300,13,0.100,0.000
7,33.100,0.247,1.002,4,11547.000,24.621,0.000,0.700,7,0.600,0.002
8,40.400,0.264,1.003,3,14078.100,26.266,0.000,0.000,0,0.000,0.000
9,49.200,0.283,1.003,4,17033.300,28.249,0.000,1.100,6,0.700,0.002
10,59.300,0.287,1.004,3,19144.800,28.575,0.000,1.000,10,0.900,0.002
11,68.200,0.292,1.006,4,21392.900,29.031,0.000,2.700,11,2.100,0.004
12,77.400,0.298,1.006,128,23801.200,29.606,0.000,2.900,12,2.400,0.004
13,86.400,0.300,1.008,3,25974.400,29.824,0.001,3.800,13,3.500,0.006
14,95.500,0.306,1.010,5,28367.000,30.246,0.000,0.500,5,0.300,0.000
15,104.800,0.313,1.012,4,31069.900,30.921,0.001,3.000,15,4.200,0.006
16,115.400,0.316,1.015,5,33410.400,31.170,0.001,3.150,16,4.500,0.006
17,125.400,0.312,1.042,5215,34101.600,29.944,0.000,3.600,10,2.100,0.003
18,139.000,0.306,1.041,6002,35468.300,29.413,0.001,3.500,16,6.500,0.007
19,150.700,0.317,1.060,6693,38020.200,29.871,0.009,538.400,2788,2.400,0.003
20,169.000,0.335,1.120,7856,40069.800,29.904,0.171,1191.719,9903,4.600,0.005
21,193.600,0.341,1.126,7417,42657.500,30.321,0.001,7.043,16,6.700,0.007
22,201.900,0.331,1.106,9037,44118.000,29.934,0.005,200.800,1944,6.200,0.006
23,231.200,0.336,1.113,8120,46529.800,30.198,0.001,7.000,16,6.500,0.006
24,261.200,0.332,1.102,5206,48515.200,30.175,0.007,127.300,812,3.200,0.003
25,272.800,0.338,1.106,7133,51165.500,30.550,0.001,4.659,16,8.100,0.007
26,295.200,0.337,1.092,6675,53697.100,30.828,0.001,8.000,16,10.500,0.008
27,322.600,0.355,1.142,6416,56312.100,31.132,0.165,1351.925,13132,14.500,0.011
28,356.600,0.354,1.125,6060,59044.600,31.478,0.116,449.737,9144,16.100,0.012
29,388.000,0.360,1.149,7074,60780.300,31.287,0.254,1974.311,12195,13.500,0.010
30,426.200,0.368,1.173,5443,62962.700,31.329,0.010,135.337,1411,5.100,0.004
31,442.800,0.354,1.115,5273,65909.100,31.738,0.001,5.152,16,6.200,0.004
32,467.800,0.388,1.207,6946,68895.500,32.141,0.097,1137.040,9552,10.900,0.007
