threads,avg_ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count_avg,enq_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg
1,3.200,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,9.900,0.016,1.012,38,325.900,1.630,0.000,0.950,5,1.300,0.009
3,16.000,0.120,1.000,2,3587.300,11.958,0.000,2.057,3,3.800,0.019
4,23.900,0.152,1.000,2,6074.500,15.186,0.001,2.608,3,10.200,0.041
5,32.900,0.181,1.000,3,9050.800,18.102,0.000,2.011,4,1.900,0.006
6,42.700,0.175,1.000,3,10481.800,17.470,0.000,0.300,3,0.600,0.002
7,55.000,0.206,1.000,3,14441.200,20.630,0.000,0.000,0,0.000,0.000
8,68.000,0.192,1.001,3,15386.300,19.233,0.000,0.300,3,0.500,0.001
9,81.900,0.202,1.001,17,18169.800,20.189,0.000,1.200,6,0.700,0.001
10,96.800,0.208,1.002,3,20755.800,20.756,0.000,2.000,8,1.000,0.002
11,111.300,0.220,1.005,3,24040.300,21.855,0.000,3.000,10,1.400,0.002
12,127.000,0.231,1.010,3,27454.400,22.879,0.000,4.180,9,1.800,0.003
13,145.800,0.229,1.014,3,29375.400,22.596,0.000,2.929,10,3.200,0.004
14,161.100,0.244,1.023,82,33345.800,23.818,0.000,3.609,10,3.900,0.005
15,176.800,0.252,1.028,4,36697.900,24.465,0.001,5.383,10,6.300,0.008
16,195.300,0.252,1.035,315,38886.900,24.304,0.001,4.736,16,10.800,0.012
17,211.800,0.255,1.070,4881,40453.800,23.796,0.006,37.940,5322,7.900,0.008
18,242.500,0.251,1.100,5230,41089.000,22.827,0.004,68.290,3809,6.700,0.006
19,263.300,0.256,1.097,4344,44344.100,23.339,0.000,5.370,11,7.400,0.007
20,287.500,0.257,1.089,8109,47230.000,23.615,0.027,193.097,4294,11.000,0.010
21,315.100,0.262,1.117,7290,49287.200,23.470,0.000,3.057,11,3.100,0.003
22,351.100,0.258,1.109,6875,51113.700,23.234,0.011,502.160,2913,4.500,0.004
23,384.300,0.260,1.106,6070,54109.600,23.526,0.018,117.995,1713,9.200,0.007
24,422.600,0.266,1.130,4416,56432.400,23.514,0.021,301.833,3047,7.000,0.005
25,463.700,0.268,1.141,5533,58782.300,23.513,0.000,7.761,12,7.900,0.006
26,522.200,0.261,1.101,5201,61724.400,23.740,0.015,360.124,2877,5.100,0.004
27,544.900,0.272,1.127,4318,65042.500,24.090,0.036,345.019,2555,9.700,0.006
28,600.000,0.273,1.122,4849,68001.200,24.286,0.046,370.779,2364,14.100,0.009
29,642.600,0.291,1.194,4636,70590.300,24.341,0.023,242.754,2164,8.100,0.005
30,679.000,0.280,1.146,4499,73296.600,24.432,0.037,277.557,2127,11.400,0.007
31,743.700,0.294,1.185,4403,77010.200,24.842,0.014,97.971,1884,11.500,0.007
32,776.800,0.296,1.172,4320,80814.400,25.255,0.032,286.310,2356,19.200,0.011
