threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,2.600,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,5.700,0.024,1.000,1,236.800,2.368,0.000,1.000,0,0.000,0.000,0.024,1.000,1,236.800,2.368
3,7.200,0.100,1.000,2,1500.700,10.005,0.000,1.000,0,0.000,0.000,0.100,1.000,2,1500.700,10.005
4,11.400,0.137,1.001,11,2740.500,13.703,0.000,1.001,0,0.000,0.000,0.137,1.001,11,2740.500,13.703
5,15.700,0.149,1.000,2,3734.700,14.939,0.000,1.000,0,0.000,0.000,0.149,1.000,2,3734.700,14.939
6,20.100,0.169,1.001,2,5066.500,16.889,0.000,1.001,0,0.000,0.000,0.169,1.001,2,5066.500,16.889
7,26.500,0.181,1.002,3,6320.900,18.060,0.000,1.002,0,0.000,0.000,0.181,1.002,3,6320.900,18.060
8,32.000,0.194,1.004,2,7752.500,19.381,0.000,1.004,0,0.000,0.000,0.194,1.004,2,7752.500,19.381
9,38.500,0.192,1.003,2,8625.800,19.169,0.000,1.003,0,0.000,0.000,0.192,1.003,2,8625.800,19.169
10,45.700,0.202,1.005,4,10039.600,20.079,0.000,1.005,0,0.000,0.000,0.202,1.005,4,10039.600,20.079
11,52.700,0.217,1.009,3,11821.200,21.494,0.000,1.009,0,0.000,0.000,0.217,1.009,3,11821.200,21.494
12,60.300,0.217,1.010,4,12878.000,21.464,0.000,1.010,0,0.000,0.000,0.217,1.010,4,12878.000,21.464
13,68.800,0.225,1.012,4,14465.600,22.255,0.000,1.012,0,0.000,0.000,0.225,1.012,4,14465.600,22.255
14,75.600,0.229,1.014,3,15776.700,22.538,0.000,1.014,0,0.000,0.000,0.229,1.014,3,15776.700,22.538
15,84.100,0.233,1.017,4,17197.700,22.931,0.000,1.017,0,0.000,0.000,0.233,1.017,4,17197.700,22.931
16,91.600,0.235,1.017,3,18518.800,23.149,0.000,1.017,0,0.000,0.000,0.235,1.017,3,18518.800,23.149
17,99.000,0.226,1.018,22,18888.400,22.222,0.000,1.018,0,0.000,0.000,0.226,1.018,22,18888.400,22.222
18,111.900,0.221,1.018,6,19542.500,21.714,0.000,1.018,0,0.000,0.000,0.221,1.018,6,19542.500,21.714
19,120.300,0.234,1.076,7472,20605.900,21.691,0.000,1.076,0,0.000,0.000,0.234,1.076,7472,20605.900,21.691
20,130.400,0.231,1.046,4724,22041.800,22.042,0.000,1.046,0,0.000,0.000,0.231,1.046,4724,22041.800,22.042
21,156.700,0.234,1.065,7063,23046.300,21.950,0.000,1.065,0,0.000,0.000,0.234,1.065,7063,23046.300,21.950
22,166.300,0.253,1.135,5530,24520.200,22.291,0.000,1.135,0,0.000,0.000,0.253,1.135,5530,24520.200,22.291
23,196.000,0.245,1.115,6905,25302.500,22.003,0.000,1.115,0,0.000,0.000,0.245,1.115,6905,25302.500,22.003
24,208.500,0.236,1.065,4357,26559.700,22.134,0.000,1.065,0,0.000,0.000,0.236,1.065,4357,26559.700,22.134
25,231.500,0.250,1.118,6099,27950.600,22.361,0.000,1.118,0,0.000,0.000,0.250,1.118,6099,27950.600,22.361
26,250.500,0.248,1.087,5311,29612.400,22.779,0.000,1.087,0,0.000,0.000,0.248,1.087,5311,29612.400,22.779
27,269.300,0.250,1.091,5404,30892.800,22.884,0.000,1.091,0,0.000,0.000,0.250,1.091,5404,30892.800,22.884
28,289.300,0.260,1.118,5111,32623.500,23.303,0.000,1.118,0,0.000,0.000,0.260,1.118,5111,32623.500,23.303
29,302.100,0.264,1.128,5197,33927.000,23.399,0.000,1.128,0,0.000,0.000,0.264,1.128,5197,33927.000,23.399
30,351.100,0.255,1.094,4072,35005.700,23.338,0.000,1.094,0,0.000,0.000,0.255,1.094,4072,35005.700,23.338
31,379.700,0.274,1.145,4758,37121.000,23.950,0.000,1.145,0,0.000,0.000,0.274,1.145,4758,37121.000,23.950
32,377.900,0.266,1.111,4647,38386.200,23.992,0.000,1.111,0,0.000,0.000,0.266,1.111,4647,38386.200,23.992
