threads,avg_ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count_avg,enq_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg
1,3.100,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,4.100,0.031,1.388,79,224.900,2.249,0.010,1.001,2,102.500,1.025
3,5.100,0.034,1.794,56,286.700,1.911,0.008,1.004,2,113.200,0.755
4,7.000,0.050,2.169,35,456.700,2.284,0.009,1.004,2,170.500,0.853
5,9.000,0.067,2.660,71,626.500,2.506,0.009,1.012,7,215.000,0.860
6,10.300,0.077,2.977,113,775.900,2.586,0.010,1.017,6,280.600,0.935
7,12.400,0.091,3.312,55,959.200,2.741,0.010,1.012,4,338.600,0.967
8,14.100,0.111,3.850,123,1153.500,2.884,0.010,1.017,11,406.600,1.017
9,16.500,0.206,6.554,184,1411.100,3.136,0.011,1.018,26,490.500,1.090
10,19.500,0.278,8.422,292,1651.400,3.303,0.012,1.023,34,586.500,1.173
11,22.200,0.349,9.867,267,1949.000,3.544,0.013,1.013,4,684.100,1.244
12,25.400,0.400,10.735,157,2238.100,3.730,0.013,1.017,4,756.300,1.260
13,30.100,0.433,11.179,275,2516.200,3.871,0.013,1.016,5,843.600,1.298
14,33.100,0.430,10.748,328,2800.100,4.000,0.013,1.021,47,905.200,1.293
15,35.500,0.411,9.924,223,3104.100,4.139,0.013,1.018,5,988.100,1.317
16,39.400,0.370,8.846,689,3346.300,4.183,0.013,1.021,26,1036.200,1.295
17,41.600,0.389,9.440,353,3498.300,4.116,0.021,1.609,1278,1095.600,1.289
18,44.000,0.423,10.243,2759,3719.400,4.134,0.034,2.523,1818,1207.900,1.342
19,45.700,0.450,10.959,615,3898.900,4.104,0.042,3.108,453,1287.300,1.355
20,48.600,0.468,11.367,1898,4115.100,4.116,0.047,3.470,232,1341.400,1.342
21,50.800,0.479,11.519,4164,4364.500,4.157,0.051,3.722,1129,1437.000,1.369
22,53.300,0.484,11.720,697,4544.400,4.132,0.055,4.061,367,1501.300,1.365
23,56.300,0.516,12.301,1393,4829.800,4.200,0.058,4.192,215,1594.200,1.386
24,58.900,0.540,12.898,6042,5027.900,4.191,0.066,4.755,3984,1677.300,1.398
25,61.600,0.558,13.077,2154,5332.700,4.267,0.061,4.272,783,1786.600,1.430
26,66.500,0.608,13.941,1492,5665.100,4.359,0.066,4.479,310,1919.100,1.477
27,69.200,0.660,15.004,2503,5940.600,4.401,0.062,4.180,176,2003.700,1.484
28,73.000,0.679,15.431,2026,6157.900,4.402,0.064,4.302,176,2095.600,1.498
29,75.300,0.713,15.980,2735,6462.900,4.458,0.066,4.384,237,2188.300,1.509
30,78.900,0.740,16.449,2245,6742.700,4.500,0.066,4.323,195,2296.900,1.533
31,82.100,0.741,16.528,2012,6945.400,4.481,0.066,4.365,268,2353.400,1.518
32,86.700,0.769,16.971,3476,7242.000,4.527,0.068,4.502,739,2431.700,1.520
