threads,avg_ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count_avg,enq_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg
1,2.500,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,5.000,0.051,1.681,50,408.300,3.047,0.010,1.003,3,140.200,1.046
3,7.000,0.056,1.974,76,576.500,2.868,0.008,1.001,2,154.900,0.771
4,9.000,0.084,2.721,150,830.100,3.097,0.007,1.014,12,194.000,0.724
5,11.800,0.093,2.961,115,1052.400,3.141,0.009,1.013,5,302.100,0.902
6,13.900,0.113,3.502,109,1293.400,3.217,0.008,1.014,6,298.500,0.743
7,16.000,0.131,3.944,122,1562.800,3.332,0.008,1.013,3,360.200,0.768
8,18.200,0.171,4.785,195,1908.300,3.560,0.008,1.011,3,435.800,0.813
9,21.700,0.331,8.204,221,2431.300,4.032,0.009,1.017,3,531.800,0.882
10,27.000,0.456,9.898,212,3088.700,4.610,0.010,1.055,273,665.500,0.993
11,30.100,0.581,11.687,900,3663.000,4.970,0.011,1.015,6,791.700,1.074
12,34.400,0.658,12.585,596,4206.300,5.232,0.011,1.017,27,900.900,1.121
13,38.000,0.704,13.128,540,4671.700,5.364,0.012,1.041,223,991.500,1.138
14,42.400,0.685,12.421,513,5171.400,5.513,0.012,1.078,236,1073.100,1.144
15,46.900,0.614,10.849,483,5691.700,5.663,0.012,1.027,139,1138.100,1.132
16,50.900,0.577,9.909,1010,6242.200,5.823,0.011,1.018,12,1194.700,1.114
17,54.400,0.619,10.922,2584,6461.100,5.673,0.016,1.405,214,1273.500,1.118
18,58.000,0.678,11.880,4467,6885.500,5.710,0.022,1.970,1493,1353.700,1.123
19,62.700,0.755,13.349,2919,7190.800,5.655,0.030,2.624,651,1452.100,1.142
20,67.200,0.784,13.504,1353,7765.300,5.800,0.033,2.897,307,1538.200,1.149
21,70.100,0.830,14.259,11041,8183.100,5.822,0.039,3.294,272,1665.000,1.185
22,73.000,0.878,15.144,1209,8539.300,5.798,0.045,3.740,290,1763.600,1.197
23,75.900,0.930,15.829,3297,9040.800,5.873,0.045,3.753,261,1835.200,1.192
24,79.200,1.009,16.948,3855,9555.800,5.950,0.048,4.056,251,1911.400,1.190
25,84.000,1.025,16.863,1592,10173.300,6.078,0.051,4.180,320,2054.700,1.228
26,86.800,1.136,18.266,5117,10811.800,6.212,0.050,3.978,207,2202.300,1.265
27,95.400,1.178,17.280,10845,12383.000,6.850,0.053,4.109,434,2333.500,1.291
28,97.400,1.268,18.715,9069,12745.500,6.800,0.056,4.341,5321,2417.000,1.290
29,98.400,1.359,20.799,4606,12696.100,6.540,0.053,4.120,266,2520.500,1.298
30,103.200,1.407,21.075,6720,13447.800,6.695,0.056,4.285,1937,2640.100,1.314
31,105.800,1.403,20.887,5377,13967.600,6.728,0.054,4.082,169,2722.800,1.311
32,112.600,1.419,20.917,9706,14569.800,6.804,0.055,4.246,320,2753.000,1.286
