threads,avg_ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count_avg,enq_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg
1,3.200,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,7.000,0.013,2.276,95,117.800,0.589,0.002,1.338,73,23.100,0.115
3,9.800,0.020,4.407,70,136.300,0.454,0.001,1.008,2,37.100,0.124
4,13.400,0.035,5.261,88,263.500,0.659,0.002,1.050,14,88.600,0.221
5,16.200,0.050,6.870,118,363.400,0.727,0.003,1.026,9,123.800,0.248
6,19.700,0.057,6.508,76,520.900,0.868,0.003,1.015,6,183.800,0.306
7,23.700,0.060,6.435,83,647.600,0.925,0.004,1.014,13,249.600,0.357
8,27.200,0.080,7.038,113,905.400,1.132,0.004,1.015,5,319.700,0.400
9,32.200,0.171,10.463,188,1472.300,1.636,0.006,1.017,15,557.600,0.620
10,37.300,0.244,12.368,319,1969.000,1.969,0.008,1.076,217,758.700,0.759
11,41.800,0.304,13.338,331,2510.300,2.282,0.009,1.010,5,962.300,0.875
12,47.700,0.350,13.802,279,3047.400,2.539,0.010,1.026,160,1144.800,0.954
13,55.800,0.368,13.340,266,3582.300,2.756,0.010,1.032,241,1320.500,1.016
14,62.700,0.366,12.828,350,3990.300,2.850,0.010,1.014,15,1449.100,1.035
15,69.000,0.283,9.499,927,4473.000,2.982,0.011,1.014,21,1609.400,1.073
16,75.500,0.171,5.814,479,4704.900,2.941,0.011,1.014,26,1656.800,1.036
17,79.100,0.194,6.599,1368,4994.500,2.938,0.020,1.891,143,1790.800,1.054
18,82.800,0.235,8.067,5649,5238.400,2.910,0.038,3.658,1149,1887.500,1.049
19,87.500,0.270,9.390,5828,5456.300,2.873,0.054,5.110,420,2011.600,1.059
20,91.600,0.275,9.634,922,5710.800,2.856,0.058,5.311,281,2181.900,1.091
21,97.500,0.305,10.721,920,5965.700,2.841,0.071,6.453,212,2300.000,1.095
22,101.800,0.318,11.408,2210,6127.800,2.786,0.078,6.877,249,2480.700,1.128
23,104.100,0.329,11.608,737,6509.800,2.831,0.090,7.793,209,2657.100,1.155
24,109.300,0.350,12.393,758,6777.100,2.824,0.093,7.863,339,2838.500,1.183
25,116.100,0.398,13.392,1888,7434.400,2.974,0.094,7.531,945,3118.000,1.247
26,124.400,0.429,13.989,786,7962.000,3.063,0.097,7.505,1608,3373.200,1.297
27,129.400,0.480,15.387,1041,8419.900,3.119,0.097,7.315,240,3586.800,1.329
28,134.300,0.515,16.072,7154,8969.600,3.204,0.101,7.344,757,3850.600,1.375
29,140.500,0.521,16.199,931,9325.800,3.216,0.098,7.088,200,4027.300,1.389
30,145.900,0.549,16.792,1363,9806.600,3.269,0.099,7.073,435,4213.800,1.405
31,154.000,0.549,16.700,2032,10183.800,3.285,0.099,6.930,237,4420.500,1.426
32,159.300,0.546,16.539,1153,10551.600,3.298,0.098,6.913,567,4537.000,1.418
