threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg
1,3.000,0.000,0.000,0,0.000,0.000
2,4.000,0.010,1.017,17,93.500,0.935
3,5.500,0.029,1.067,59,406.500,2.710
4,7.000,0.033,1.101,34,596.600,2.983
5,9.700,0.035,1.090,8,794.600,3.178
6,12.200,0.039,1.109,12,1057.100,3.524
7,14.000,0.043,1.111,6,1339.400,3.827
8,15.100,0.047,1.121,39,1669.300,4.173
9,18.400,0.062,1.126,10,2487.100,5.527
10,21.000,0.070,1.117,7,3132.900,6.266
11,23.800,0.073,1.118,52,3598.900,6.543
12,26.400,0.075,1.125,275,4020.500,6.701
13,30.800,0.074,1.122,213,4297.200,6.611
14,33.600,0.070,1.117,202,4392.800,6.275
15,36.300,0.068,1.129,27,4529.200,6.039
16,39.400,0.066,1.144,202,4596.900,5.746
17,42.800,0.107,1.890,2083,4821.400,5.672
18,45.100,0.145,2.539,972,5130.500,5.703
19,46.900,0.177,3.092,1161,5450.900,5.743
20,49.100,0.208,3.580,673,5800.800,5.804
21,51.200,0.241,4.105,2221,6165.000,5.873
22,53.900,0.276,4.604,1747,6585.600,5.988
23,55.900,0.292,4.806,429,6979.600,6.072
24,57.800,0.319,5.210,404,7344.700,6.123
25,61.800,0.335,5.178,916,8079.700,6.466
26,67.100,0.370,5.480,1741,8766.600,6.749
27,70.100,0.371,5.476,378,9144.400,6.780
28,73.300,0.387,5.689,555,9507.800,6.794
29,76.400,0.408,5.894,640,10021.600,6.917
30,81.900,0.418,6.102,1993,10270.700,6.852
31,82.700,0.416,6.124,3644,10515.900,6.786
32,85.500,0.437,6.428,1763,10875.600,6.801
