threads,trial,ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count,enq_pct,deq_mean_all,deq_mean_ovt,deq_max,deq_count,deq_pct,l1_missrate
1,0,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.482500
1,1,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.232500
1,2,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.402900
1,3,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.511500
1,4,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.613500
1,5,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.644300
1,6,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.668000
1,7,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.682500
1,8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.751400
1,9,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.834200
2,0,4,0.011308,6.391304,34.000000,23.000000,0.176923,0.001923,1.000000,1.000000,25.000000,0.192308,11.212800
2,1,4,0.011462,6.208333,35.000000,24.000000,0.184615,0.001615,1.000000,1.000000,21.000000,0.161538,10.623550
2,2,4,0.015154,5.051282,37.000000,39.000000,0.300000,0.001385,1.000000,1.000000,18.000000,0.138462,11.412250
2,3,4,0.012538,4.527778,31.000000,36.000000,0.276923,0.001308,1.000000,1.000000,17.000000,0.130769,10.946000
2,4,4,0.010615,4.451613,30.000000,31.000000,0.238462,0.002077,1.000000,1.000000,27.000000,0.207692,11.447150
2,5,4,0.015923,6.272727,40.000000,33.000000,0.253846,0.001154,1.000000,1.000000,15.000000,0.115385,9.857350
2,6,4,0.013308,5.766667,35.000000,30.000000,0.230769,0.001231,1.000000,1.000000,16.000000,0.123077,9.761300
2,7,4,0.014462,5.371429,41.000000,35.000000,0.269231,0.002077,1.000000,1.000000,27.000000,0.207692,9.748200
