threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg
1,4.000,0.000,0.000,0,0.000,0.000
2,6.000,0.006,1.020,5,84.100,0.628
3,8.700,0.021,1.027,10,413.700,2.058
4,10.300,0.035,1.061,32,894.600,3.338
5,13.200,0.043,1.084,54,1315.500,3.927
6,15.000,0.051,1.087,8,1896.400,4.717
7,17.100,0.060,1.111,53,2545.600,5.428
8,19.200,0.069,1.129,8,3262.200,6.086
9,23.900,0.122,1.245,134,5901.500,9.787
10,28.600,0.144,1.220,19,7909.600,11.805
11,32.100,0.152,1.230,141,9084.800,12.327
12,35.700,0.152,1.217,508,10018.600,12.463
13,39.200,0.149,1.229,52,10567.600,12.133
14,43.100,0.145,1.239,536,10958.300,11.689
15,47.000,0.144,1.277,73,11337.300,11.281
16,51.200,0.137,1.304,113,11281.000,10.523
17,55.900,0.225,2.146,3323,11934.800,10.480
18,59.400,0.311,2.959,2293,12683.700,10.525
19,62.600,0.399,3.739,4289,13535.000,10.657
20,67.600,0.457,4.294,2181,14209.200,10.644
21,71.500,0.538,4.894,2688,15438.000,11.002
22,74.200,0.614,5.529,4394,16316.800,11.104
23,77.500,0.701,6.117,1206,17603.400,11.454
24,80.900,0.775,6.578,1877,18891.000,11.783
25,85.200,0.814,6.536,1439,20808.700,12.462
26,88.700,0.858,6.703,1650,22226.400,12.794
27,93.000,0.886,6.886,5208,23147.800,12.865
28,96.700,0.924,7.161,824,24105.800,12.898
29,100.700,0.960,7.382,4893,25191.900,13.004
30,104.500,0.971,7.627,1484,25461.200,12.722
31,107.900,0.997,7.990,4343,25818.600,12.482
32,112.300,0.973,8.065,4394,25767.000,12.067
