threads,trial,ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count,enq_pct,deq_mean_all,deq_mean_ovt,deq_max,deq_count,deq_pct,l1_missrate
1,0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.116050
1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.967400
1,2,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.968650
1,3,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.012000
1,4,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.987850
1,5,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.025100
1,6,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.959950
1,7,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.006700
1,8,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.017850
1,9,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.965700
2,0,6,0.004286,1.120000,3.000000,75.000000,0.382653,0.000561,1.000000,1.000000,11.000000,0.056122,7.407750
2,1,6,0.001990,1.000000,1.000000,39.000000,0.198980,0.000510,1.000000,1.000000,10.000000,0.051020,7.503650
2,2,6,0.006378,1.302083,9.000000,96.000000,0.489796,0.001378,1.000000,1.000000,27.000000,0.137755,7.571850
2,3,6,0.003469,1.014925,2.000000,67.000000,0.341837,0.001276,1.000000,1.000000,25.000000,0.127551,7.662950
2,4,6,0.005765,1.269663,9.000000,89.000000,0.454082,0.000816,1.000000,1.000000,16.000000,0.081633,7.668900
2,5,6,0.003776,1.298246,10.000000,57.000000,0.290816,0.000867,1.000000,1.000000,17.000000,0.086735,7.604075
2,6,6,0.003214,1.067797,5.000000,59.000000,0.301020,0.000561,1.000000,1.000000,11.000000,0.056122,7.723000
2,7,6,0.004286,1.473684,11.000000,57.000000,0.290816,0.000357,1.000000,1.000000,7.000000,0.035714,7.474225
2,8,6,0.004184,1.490909,12.000000,55.000000,0.280612,0.000561,1.000000,1.000000,11.000000,0.056122,7.639525
2,9,6,0.001990,1.083333,3.000000,36.000000,0.183673,0.000306,1.000000,1.000000,6.000000,0.030612,6.989050
3,0,7,0.023912,1.214162,16.000000,579.000000,1.969388,0.006871,1.010000,2.000000,200.000000,0.680272,8.071767
3,1,7,0.021429,1.139241,16.000000,553.000000,1.880952,0.008299,1.004115,2.000000,243.000000,0.826531,8.029150
3,2,6,0.020714,1.093357,11.000000,557.000000,1.894558,0.007041,1.004854,2.000000,206.000000,0.700680,7.994933
3,3,7,0.019490,1.014159,2.000000,565.000000,1.921769,0.006939,1.000000,1.000000,204.000000,0.693878,8.001800
3,4,7,0.022857,1.137056,15.000000,591.000000,2.010204,0.008299,1.008264,2.000000,242.000000,0.823129,8.025250
3,5,7,0.023333,1.180723,28.000000,581.000000,1.976190,0.007959,1.004292,2.000000,233.000000,0.792517,8.054650
3,6,7,0.025102,1.184591,15.000000,623.000000,2.119048,0.007517,1.000000,1.000000,221.000000,0.751701,8.042950
3,7,6,0.022517,1.107023,10.000000,598.000000,2.034014,0.008571,1.003984,2.000000,251.000000,0.853741,8.050450
3,8,7,0.021088,1.047297,15.000000,592.000000,2.013605,0.007415,1.004608,2.000000,217.000000,0.738095,8.048800
3,9,7,0.020544,1.050435,8.000000,575.000000,1.955782,0.007823,1.000000,1.000000,230.000000,0.782313,8.015733
4,0,18,0.048878,1.113953,20.000000,1720.000000,4.387755,0.012602,1.002028,2.000000,493.000000,1.257653,8.469675
4,1,7,0.053087,1.159331,19.000000,1795.000000,4.579082,0.012296,1.006263,2.000000,479.000000,1.221939,8.496738
4,2,7,0.047092,1.143742,10.000000,1614.000000,4.117347,0.013240,1.013672,2.000000,512.000000,1.306122,8.541000
4,3,7,0.052653,1.162817,43.000000,1775.000000,4.528061,0.014082,1.009141,2.000000,547.000000,1.395408,8.477213
4,4,7,0.050893,1.180473,31.000000,1690.000000,4.311224,0.012423,1.000000,1.000000,487.000000,1.242347,7.952163
4,5,7,0.050842,1.177200,25.000000,1693.000000,4.318878,0.012883,1.010000,2.000000,500.000000,1.275510,7.944963
4,6,7,0.049923,1.135810,11.000000,1723.000000,4.395408,0.011633,1.008850,2.000000,452.000000,1.153061,8.461050
4,7,7,0.051505,1.163689,19.000000,1735.000000,4.426020,0.013138,1.005859,2.000000,512.000000,1.306122,8.458575
4,8,7,0.049388,1.140837,16.000000,1697.000000,4.329082,0.011352,1.011364,2.000000,440.000000,1.122449,8.490737
4,9,7,0.052679,1.178653,25.000000,1752.000000,4.469388,0.012730,1.008081,2.000000,495.000000,1.262755,8.427513
