threads,avg_ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count_avg,enq_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg
1,2.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,3.000,0.044,1.075,5,412.400,4.124,0.010,1.005,4,101.800,1.018
3,4.000,0.170,1.447,47,1763.900,11.759,0.047,1.234,271,571.600,3.811
4,5.700,0.321,1.850,45,3466.900,17.334,0.096,1.491,37,1284.800,6.424
5,7.400,0.366,2.007,22,4538.800,18.155,0.114,1.629,68,1720.400,6.882
6,8.200,0.465,2.197,1112,6352.300,21.174,0.140,1.791,27,2306.600,7.689
7,11.200,0.438,2.210,557,6847.300,19.564,0.129,1.952,1492,2336.900,6.677
8,11.900,0.495,2.284,416,8655.200,21.638,0.134,1.869,85,2793.600,6.984
9,14.100,0.482,2.429,69,8931.200,19.847,0.108,1.703,279,2760.800,6.135
10,16.100,0.478,2.469,288,9664.900,19.330,0.086,1.473,271,2933.700,5.867
11,18.000,0.474,2.494,299,10448.700,18.998,0.090,1.546,264,3170.600,5.765
12,20.100,0.453,2.440,295,11128.800,18.548,0.089,1.571,281,3375.600,5.626
13,24.100,0.450,2.437,294,11997.600,18.458,0.074,1.392,257,3467.400,5.334
14,26.300,0.434,2.391,464,12695.800,18.137,0.071,1.377,337,3594.200,5.135
15,28.900,0.421,2.372,305,13300.000,17.733,0.069,1.388,104,3740.200,4.987
16,31.100,0.407,2.353,290,13853.700,17.317,0.063,1.326,53,3781.100,4.726
17,33.300,0.443,2.632,458,14296.300,16.819,0.083,1.800,1864,3940.900,4.636
18,35.200,0.482,2.862,3336,15153.600,16.837,0.099,2.145,210,4171.600,4.635
19,37.000,0.507,2.999,4848,16052.600,16.897,0.120,2.535,4626,4501.400,4.738
20,38.200,0.612,3.439,2471,17775.400,17.775,0.192,3.578,2573,5268.400,5.268
21,40.500,0.685,3.784,2959,18994.000,18.090,0.200,3.808,1045,5502.100,5.240
22,42.000,0.733,3.935,2918,20505.300,18.641,0.220,4.099,869,5891.300,5.356
23,44.000,0.781,4.184,3108,21465.100,18.665,0.219,4.149,590,6065.700,5.275
24,46.000,0.791,4.278,4178,22192.100,18.493,0.223,4.245,478,6306.100,5.255
25,48.500,0.800,4.366,2860,22908.400,18.327,0.258,4.594,3091,6902.700,5.522
26,53.400,0.802,4.441,3460,23475.000,18.058,0.240,4.495,969,6931.000,5.332
27,55.800,0.830,4.588,3755,24414.000,18.084,0.241,4.554,600,7137.500,5.287
28,58.600,0.867,4.789,3947,25336.300,18.097,0.237,4.544,1314,7287.400,5.205
29,61.200,0.845,4.730,4031,25900.100,17.862,0.285,5.081,4287,7992.800,5.512
30,63.700,0.862,4.825,3205,26771.900,17.848,0.282,5.124,546,8208.300,5.472
31,66.600,0.883,5.005,4171,27311.600,17.620,0.256,4.962,2013,7988.400,5.154
32,69.400,0.840,4.836,2724,27799.700,17.375,0.259,5.058,1263,8179.600,5.112
