threads,avg_ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count_avg,enq_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg
1,2.700,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,4.800,0.032,1.176,28,357.100,2.665,0.003,1.002,2,41.800,0.312
3,7.000,0.274,1.688,300,3258.400,16.211,0.029,1.303,11,450.500,2.241
4,9.100,0.599,2.258,383,7005.500,26.140,0.044,1.436,12,822.200,3.068
5,11.700,1.010,2.761,78,12250.500,36.569,0.079,1.725,19,1528.200,4.562
6,14.200,1.341,3.250,85,16590.700,41.270,0.099,1.750,52,2181.700,5.427
7,16.800,1.697,3.677,68,21650.800,46.164,0.102,1.885,37,2472.000,5.271
8,19.200,1.923,3.981,78,25892.000,48.306,0.119,1.989,140,3089.800,5.765
9,22.900,2.262,5.039,148,27071.300,44.894,0.078,1.694,61,2759.500,4.576
10,27.100,2.597,5.583,379,31163.600,46.513,0.070,1.580,30,2987.300,4.459
11,31.200,2.932,5.923,370,36478.900,49.496,0.063,1.488,24,3132.600,4.250
12,34.400,3.277,6.243,365,42205.100,52.494,0.063,1.457,45,3467.700,4.313
13,38.500,3.621,6.522,891,48362.600,55.525,0.057,1.377,47,3623.300,4.160
14,42.800,3.966,6.810,346,54620.700,58.231,0.054,1.320,15,3821.100,4.074
15,47.300,4.350,7.207,347,60658.300,60.357,0.068,1.608,150,4056.100,4.036
16,53.000,4.641,7.484,436,66472.500,62.008,0.049,1.364,144,3841.100,3.583
17,55.100,4.717,7.976,3654,67365.100,59.144,0.071,1.813,765,4403.400,3.866
18,58.300,4.780,8.444,8427,68265.900,56.605,0.092,2.263,2967,4756.800,3.944
19,63.500,4.869,8.686,9254,71344.300,56.044,0.095,2.373,963,5078.200,3.989
20,66.200,4.991,8.909,14327,75075.400,56.026,0.109,2.746,3356,5311.500,3.964
21,69.200,5.298,9.359,6646,79652.900,56.612,0.139,3.299,4679,5831.200,4.144
22,72.200,5.537,9.659,7267,84498.900,57.326,0.140,3.399,1539,6073.900,4.121
23,75.300,5.845,10.081,6249,89346.600,57.980,0.154,3.688,2094,6413.100,4.162
24,79.100,6.108,10.445,8944,94021.200,58.471,0.161,3.839,1225,6719.800,4.179
25,82.600,6.317,11.041,5468,95829.200,57.211,0.175,4.036,1944,7260.400,4.335
26,86.500,6.573,11.567,5610,98982.100,56.821,0.177,4.098,1424,7505.500,4.309
27,89.000,6.872,11.903,5112,104439.900,57.733,0.184,4.111,1048,8077.200,4.465
28,92.900,7.051,12.101,5592,109297.100,58.261,0.197,4.420,1461,8371.700,4.463
29,96.900,7.482,12.591,5182,115451.700,59.419,0.204,4.406,892,9011.100,4.638
30,100.100,7.859,13.026,5681,121257.800,60.327,0.215,4.538,1147,9511.800,4.732
31,104.300,8.162,13.384,10843,126672.800,60.988,0.222,4.576,1751,10086.800,4.856
32,110.300,8.107,13.390,13548,129698.400,60.494,0.241,4.648,1587,11086.100,5.171
