threads,avg_ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count_avg,enq_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg
1,3.500,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,6.000,0.001,1.439,20,8.000,0.040,0.001,2.143,53,4.900,0.025
3,6.800,0.008,1.083,8,208.300,0.694,0.001,1.571,47,26.300,0.088
4,9.400,0.433,1.968,42,8789.500,21.974,0.002,1.514,13,52.100,0.130
5,12.000,0.439,2.351,27,9326.100,18.652,0.014,3.773,1607,210.100,0.420
6,14.000,0.586,2.306,102,15247.000,25.412,0.023,2.947,48,384.100,0.640
7,17.700,0.435,2.126,30,14300.900,20.430,0.010,2.568,67,220.300,0.315
8,20.100,0.504,2.301,70,17523.900,21.905,0.011,2.478,54,242.000,0.302
9,24.300,0.411,2.316,105,15980.800,17.756,0.008,2.712,63,223.000,0.248
10,28.600,0.357,2.206,347,16172.600,16.173,0.003,2.115,352,163.100,0.163
11,32.300,0.347,2.159,321,17671.600,16.065,0.007,2.663,305,207.400,0.189
12,36.600,0.365,2.207,322,19818.000,16.515,0.003,1.854,317,180.400,0.150
13,42.700,0.386,2.252,301,22270.500,17.131,0.005,2.307,92,227.400,0.175
14,47.000,0.380,2.200,273,24191.000,17.279,0.003,2.169,289,203.700,0.146
15,50.500,0.382,2.201,300,26021.800,17.348,0.007,2.598,305,270.700,0.180
16,54.700,0.364,2.139,195,27202.500,17.002,0.003,2.072,297,209.200,0.131
17,59.100,0.382,2.347,3293,27672.500,16.278,0.030,12.970,5049,405.300,0.238
18,62.000,0.416,2.639,6283,28357.000,15.754,0.045,15.395,5362,536.500,0.298
19,64.500,0.427,2.800,9011,28966.600,15.246,0.049,17.315,347,539.000,0.284
20,68.000,0.498,2.885,8807,34511.000,17.256,0.074,22.683,7033,654.400,0.327
21,71.200,0.620,3.398,4069,38323.400,18.249,0.111,29.485,3452,798.100,0.380
22,75.400,0.618,3.516,2615,38648.600,17.568,0.117,28.945,1411,892.900,0.406
23,78.600,0.658,3.728,2120,40596.600,17.651,0.130,28.316,1656,1058.800,0.460
24,82.400,0.647,3.705,1978,41867.500,17.445,0.137,28.243,464,1161.300,0.484
25,87.400,0.660,3.940,2796,41871.800,16.749,0.151,27.062,2202,1393.700,0.557
26,96.600,0.646,3.889,2304,43198.200,16.615,0.164,25.710,1681,1677.300,0.645
27,101.300,0.653,3.975,2822,44317.900,16.414,0.167,26.375,688,1707.600,0.632
28,106.700,0.648,3.982,2245,45566.300,16.274,0.163,25.180,297,1818.800,0.650
29,110.500,0.659,3.984,2200,47983.900,16.546,0.170,25.651,426,1919.600,0.662
30,115.300,0.680,4.100,2169,49733.400,16.578,0.176,26.160,306,2022.100,0.674
31,120.900,0.672,4.056,2659,51310.900,16.552,0.176,26.231,1031,2085.400,0.673
32,125.400,0.677,4.128,3004,52488.500,16.403,0.185,27.125,6323,2179.800,0.681
