threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,2.800,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,3.800,0.021,1.074,19,200.700,2.007,0.000,1.077,6,0.100,0.001,0.021,1.077,19,200.800,2.008
3,4.000,0.146,1.313,7,1670.500,11.137,0.000,1.314,4,0.400,0.003,0.146,1.314,7,1670.800,11.139
4,6.500,0.307,1.815,2003,3390.300,16.951,0.012,1.909,2462,0.400,0.002,0.320,1.909,2462,3390.700,16.954
5,8.600,0.414,1.998,76,5117.700,20.471,0.000,1.998,5,0.500,0.002,0.414,1.998,76,5117.900,20.472
6,9.500,0.549,2.325,436,7031.400,23.438,0.000,2.324,1,0.600,0.002,0.549,2.324,436,7031.800,23.439
7,10.700,0.653,2.535,91,8969.200,25.626,0.000,2.535,44,1.100,0.003,0.653,2.535,91,8969.800,25.628
8,12.100,0.785,2.735,390,11466.600,28.666,0.000,2.735,35,0.800,0.002,0.786,2.735,390,11466.900,28.667
9,13.300,0.862,3.033,2625,12729.500,28.288,0.000,3.033,2,0.600,0.001,0.862,3.033,2625,12729.700,28.288
10,15.100,0.989,3.240,324,15255.100,30.510,0.000,3.240,5,1.200,0.002,0.989,3.240,324,15256.000,30.512
11,17.000,1.082,3.382,71,17594.600,31.990,0.000,3.382,3,1.500,0.003,1.082,3.382,71,17595.200,31.991
12,19.000,1.138,3.473,75,19662.500,32.771,0.000,3.473,6,1.300,0.002,1.138,3.473,75,19663.000,32.772
13,20.300,1.187,3.546,95,21759.500,33.476,0.000,3.546,18,1.800,0.003,1.187,3.546,95,21760.100,33.477
14,22.600,1.206,3.588,87,23510.600,33.587,0.000,3.588,3,0.900,0.001,1.206,3.588,87,23511.100,33.587
15,24.600,1.212,3.584,88,25351.400,33.802,0.000,3.584,3,1.500,0.002,1.212,3.584,88,25352.500,33.803
16,27.100,1.230,3.661,150,26857.700,33.572,0.000,3.661,24,1.200,0.002,1.230,3.661,150,26858.300,33.573
17,29.200,1.235,3.910,17013,26862.500,31.603,0.004,3.921,175,9.100,0.011,1.239,3.921,17013,26867.400,31.609
18,30.700,1.287,4.166,4067,27796.000,30.884,0.007,4.186,209,15.400,0.017,1.294,4.186,4067,27804.500,30.894
19,32.200,1.349,4.384,7291,29211.000,30.748,0.010,4.413,349,22.500,0.024,1.358,4.413,7291,29223.500,30.762
20,34.300,1.441,4.637,4133,31064.000,31.064,0.021,4.700,1122,36.700,0.037,1.461,4.700,4133,31084.900,31.085
21,35.300,1.529,4.837,4228,33168.000,31.589,0.022,4.900,1158,40.100,0.038,1.549,4.900,4228,33190.400,31.610
22,37.300,1.577,5.029,3880,34502.600,31.366,0.033,5.123,921,59.700,0.054,1.608,5.123,3880,34535.500,31.396
23,39.700,1.728,5.423,4683,36622.100,31.845,0.034,5.521,477,70.600,0.061,1.761,5.521,4682,36660.900,31.879
24,41.400,1.739,5.548,6013,37610.300,31.342,0.032,5.637,710,78.400,0.065,1.769,5.637,6013,37653.800,31.378
25,43.600,1.796,5.749,4716,39030.700,31.225,0.039,5.860,672,96.300,0.077,1.833,5.860,4716,39083.600,31.267
26,45.600,1.884,6.068,10240,40476.800,31.136,0.036,6.168,404,102.200,0.079,1.918,6.168,10240,40536.100,31.182
27,48.300,1.828,5.962,6429,41421.300,30.682,0.039,6.073,316,113.600,0.084,1.865,6.073,6429,41485.300,30.730
28,50.500,1.888,6.136,6159,43060.000,30.757,0.044,6.259,2252,124.500,0.089,1.929,6.259,6159,43128.800,30.806
29,51.900,1.975,6.276,4857,45617.200,31.460,0.042,6.389,391,135.700,0.094,2.014,6.389,4857,45692.000,31.512
30,54.000,1.956,6.368,10310,46066.700,30.711,0.043,6.487,441,146.300,0.098,1.996,6.487,10310,46152.800,30.769
31,56.300,1.975,6.383,4857,47942.700,30.931,0.040,6.493,420,153.800,0.099,2.013,6.493,4857,48029.900,30.987
32,67.200,2.028,6.874,11488,47228.300,29.518,0.058,7.049,7204,150.100,0.094,2.083,7.049,11488,47317.000,29.573
