threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,10.600,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,12.700,0.002,1.011,3,17.100,0.171,0.000,1.011,1,0.200,0.002,0.002,1.011,3,17.200,0.172
3,12.000,0.002,1.013,3,36.000,0.240,0.000,1.006,1,1.500,0.010,0.002,1.006,2,35.300,0.235
4,12.400,0.002,1.024,6,36.500,0.182,0.000,1.006,1,4.200,0.021,0.002,1.006,2,35.000,0.175
5,12.100,0.002,1.046,10,49.700,0.199,0.000,1.011,1,6.400,0.026,0.002,1.011,2,47.600,0.190
6,16.000,0.002,1.013,6,68.600,0.229,0.000,1.007,2,6.200,0.021,0.002,1.007,4,66.900,0.223
7,17.300,0.003,1.068,66,89.000,0.254,0.000,1.064,1,5.700,0.016,0.003,1.064,66,88.900,0.254
8,20.000,0.003,1.059,42,98.400,0.246,0.000,1.005,1,11.100,0.028,0.002,1.005,2,97.000,0.242
9,21.900,0.004,1.002,2,162.300,0.361,0.002,1.002,1,75.800,0.168,0.002,1.002,2,108.100,0.240
10,26.500,0.004,1.010,8,203.000,0.406,0.002,1.007,2,121.900,0.244,0.002,1.007,3,110.600,0.221
11,31.600,0.005,1.043,67,246.600,0.448,0.003,1.019,2,184.000,0.335,0.002,1.019,11,116.200,0.211
12,35.200,0.005,1.005,2,302.800,0.505,0.004,1.008,1,220.200,0.367,0.002,1.008,2,133.200,0.222
13,46.300,0.005,1.017,27,312.700,0.481,0.004,1.020,2,245.500,0.378,0.002,1.020,19,123.400,0.190
14,46.700,0.005,1.009,10,359.900,0.514,0.004,1.003,1,300.400,0.429,0.002,1.003,2,126.400,0.181
15,53.800,0.005,1.019,25,379.500,0.506,0.004,1.029,2,323.900,0.432,0.002,1.029,25,127.300,0.170
16,74.400,0.005,1.027,26,393.300,0.492,0.004,1.028,2,314.100,0.393,0.002,1.028,26,151.400,0.189
17,79.000,0.005,1.034,112,417.000,0.491,0.004,1.006,2,343.000,0.404,0.002,1.006,2,154.000,0.181
18,78.200,0.005,1.027,51,409.700,0.455,0.004,1.044,2,331.600,0.368,0.002,1.044,51,150.800,0.168
19,90.700,0.005,1.037,31,443.300,0.467,0.004,1.025,2,333.700,0.351,0.002,1.025,6,185.600,0.195
20,101.500,0.005,1.035,30,437.800,0.438,0.003,1.012,2,328.700,0.329,0.002,1.012,7,187.800,0.188
21,99.800,0.005,1.037,60,480.900,0.458,0.003,1.034,2,343.900,0.328,0.002,1.034,60,213.800,0.204
22,107.000,0.005,1.057,230,521.800,0.474,0.003,1.018,2,367.900,0.334,0.002,1.018,7,242.100,0.220
23,106.500,0.004,1.017,14,508.500,0.442,0.003,1.018,2,333.800,0.290,0.002,1.018,14,244.700,0.213
24,128.200,0.004,1.018,19,484.000,0.403,0.002,1.012,2,288.100,0.240,0.002,1.012,3,259.100,0.216
25,125.700,0.006,1.025,49,692.800,0.554,0.004,1.023,2,513.600,0.411,0.002,1.023,8,297.400,0.238
26,137.400,0.007,1.128,775,853.000,0.656,0.006,1.023,2,747.800,0.575,0.003,1.023,18,327.800,0.252
27,133.300,0.008,1.026,46,1083.500,0.803,0.007,1.024,2,967.000,0.716,0.003,1.024,20,350.100,0.259
28,167.200,0.008,1.015,20,1147.100,0.819,0.007,1.019,2,998.100,0.713,0.003,1.019,6,369.900,0.264
29,160.500,0.010,1.011,10,1373.200,0.947,0.009,1.017,2,1244.300,0.858,0.003,1.017,10,412.100,0.284
30,161.900,0.011,1.015,29,1611.500,1.074,0.010,1.027,2,1491.200,0.994,0.003,1.027,22,469.400,0.313
31,179.900,0.012,1.039,478,1717.600,1.108,0.011,1.018,2,1663.600,1.073,0.003,1.018,5,473.800,0.306
32,189.900,0.011,1.024,97,1775.300,1.110,0.010,1.047,2,1675.100,1.047,0.003,1.047,97,482.500,0.302
