threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,11.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,12.100,0.011,1.128,7,63.500,0.962,0.000,1.127,1,0.200,0.003,0.011,1.127,7,63.600,0.964
3,11.200,0.028,1.186,6,229.300,2.316,0.000,1.185,1,0.300,0.003,0.028,1.185,6,230.000,2.323
4,12.300,0.037,1.231,4,392.400,2.973,0.000,1.232,1,1.200,0.009,0.037,1.232,4,392.900,2.977
5,14.100,0.054,1.280,7,690.400,4.184,0.000,1.282,1,3.200,0.019,0.054,1.282,7,690.500,4.185
6,14.600,0.058,1.317,7,869.000,4.389,0.000,1.317,1,5.500,0.028,0.058,1.317,7,870.400,4.396
7,17.200,0.059,1.328,6,1027.400,4.448,0.000,1.330,1,10.700,0.046,0.059,1.330,6,1026.100,4.442
8,17.900,0.064,1.339,15,1268.600,4.806,0.001,1.340,1,14.100,0.053,0.064,1.340,7,1268.500,4.805
9,18.300,0.063,1.335,6,1404.000,4.727,0.003,1.342,2,82.400,0.277,0.062,1.342,6,1379.200,4.644
10,21.100,0.065,1.331,24,1623.700,4.920,0.004,1.343,1,146.900,0.445,0.064,1.343,24,1573.400,4.768
11,25.300,0.068,1.330,7,1845.800,5.085,0.006,1.345,2,210.000,0.579,0.066,1.345,7,1781.900,4.909
12,33.900,0.067,1.334,12,1989.500,5.024,0.006,1.349,2,244.000,0.616,0.065,1.349,12,1913.700,4.833
13,33.900,0.103,1.321,7,3559.300,8.297,0.007,1.362,2,320.300,0.747,0.068,1.362,7,2141.300,4.991
14,35.900,0.072,1.347,6,2459.100,5.323,0.008,1.367,2,369.100,0.799,0.069,1.367,6,2340.800,5.067
15,46.200,0.109,1.344,627,4334.200,8.756,0.009,1.389,2,422.300,0.853,0.071,1.389,627,2525.400,5.102
16,59.600,0.073,1.353,14,2831.100,5.362,0.009,1.374,2,455.900,0.863,0.070,1.374,14,2688.100,5.091
17,66.300,0.067,1.337,66,2826.300,5.038,0.007,1.352,2,410.300,0.731,0.065,1.352,9,2697.400,4.808
18,63.400,0.065,1.313,7,2939.900,4.949,0.006,1.327,2,374.900,0.631,0.063,1.327,7,2830.500,4.765
19,69.600,0.065,1.321,71,3073.300,4.902,0.005,1.331,2,322.800,0.515,0.063,1.331,48,2983.000,4.758
20,74.200,0.064,1.309,9,3228.600,4.892,0.005,1.321,2,322.400,0.488,0.062,1.321,9,3123.400,4.733
21,84.400,0.122,1.273,11,7257.100,10.472,0.004,1.305,2,300.500,0.434,0.063,1.305,11,3323.900,4.797
22,86.300,0.119,1.289,20,7372.300,10.155,0.004,1.319,2,265.300,0.365,0.062,1.319,20,3408.700,4.695
23,94.400,0.065,1.308,32,3784.400,4.986,0.003,1.316,2,234.900,0.309,0.064,1.316,32,3712.900,4.892
24,101.600,0.065,1.337,914,3869.400,4.886,0.003,1.344,2,225.700,0.285,0.065,1.344,914,3803.200,4.802
25,111.000,0.078,1.292,15,5038.100,6.107,0.006,1.323,2,484.600,0.587,0.066,1.323,15,4136.800,5.015
26,132.500,0.070,1.294,73,4623.300,5.389,0.008,1.313,2,720.800,0.840,0.067,1.313,73,4371.500,5.095
27,135.900,0.075,1.317,110,5101.300,5.726,0.012,1.347,2,1060.400,1.190,0.071,1.347,110,4695.900,5.271
28,146.100,0.080,1.342,1031,5506.900,5.960,0.015,1.379,2,1366.200,1.479,0.074,1.379,1031,4973.400,5.383
29,176.800,0.117,1.296,738,9102.100,9.511,0.015,1.372,2,1470.700,1.537,0.074,1.372,738,5125.500,5.356
30,184.300,0.081,1.331,1466,5999.300,6.060,0.017,1.372,2,1686.500,1.704,0.074,1.372,1466,5352.200,5.406
31,204.300,0.077,1.289,44,6115.700,5.979,0.018,1.330,2,1832.700,1.792,0.070,1.330,44,5395.900,5.275
32,199.400,0.092,1.344,16,7189.200,6.808,0.023,1.402,2,2438.100,2.309,0.082,1.402,16,6197.800,5.869
