threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,12.200,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,11.600,0.005,1.005,3,72.300,0.540,0.000,1.002,1,1.900,0.014,0.005,1.002,2,71.400,0.533
3,12.300,0.006,1.012,5,120.000,0.597,0.000,1.004,2,6.700,0.033,0.006,1.004,2,115.500,0.575
4,12.600,0.004,1.038,13,116.400,0.434,0.001,1.004,1,17.500,0.065,0.004,1.004,3,108.100,0.403
5,15.600,0.004,1.009,5,144.600,0.432,0.001,1.004,1,22.100,0.066,0.004,1.004,2,133.800,0.399
6,16.500,0.004,1.023,8,156.800,0.390,0.001,1.013,1,29.900,0.074,0.004,1.013,8,140.400,0.349
7,18.400,0.004,1.025,7,203.500,0.434,0.001,1.007,2,41.600,0.089,0.004,1.007,7,180.200,0.384
8,22.200,0.005,1.019,8,238.000,0.444,0.001,1.009,2,54.500,0.102,0.004,1.009,5,206.200,0.385
9,24.400,0.007,1.029,73,402.600,0.668,0.003,1.037,2,201.300,0.334,0.004,1.037,73,251.400,0.417
10,32.000,0.008,1.021,15,508.100,0.758,0.004,1.017,2,276.400,0.413,0.005,1.017,6,299.400,0.447
11,35.900,0.009,1.033,41,656.400,0.891,0.006,1.021,2,406.600,0.552,0.005,1.021,9,346.800,0.471
12,39.200,0.009,1.029,107,704.100,0.876,0.006,1.014,2,466.800,0.581,0.005,1.014,4,357.500,0.445
13,45.400,0.009,1.018,12,779.600,0.895,0.006,1.012,3,494.900,0.568,0.005,1.012,4,398.700,0.458
14,49.300,0.009,1.020,29,853.400,0.910,0.006,1.020,2,590.000,0.629,0.004,1.020,29,393.500,0.420
15,56.300,0.009,1.037,80,881.100,0.877,0.006,1.034,2,599.900,0.597,0.004,1.034,80,418.500,0.416
16,79.700,0.009,1.038,186,955.500,0.891,0.006,1.024,2,661.600,0.617,0.004,1.024,10,450.200,0.420
17,79.800,0.009,1.023,38,1042.300,0.915,0.006,1.019,3,692.200,0.608,0.005,1.019,10,506.200,0.444
18,85.600,0.009,1.031,114,1106.000,0.917,0.006,1.043,2,709.900,0.589,0.005,1.043,114,548.300,0.455
19,110.500,0.010,1.080,458,1167.100,0.917,0.006,1.031,2,793.100,0.623,0.005,1.031,62,589.800,0.463
20,100.900,0.009,1.032,57,1225.900,0.915,0.006,1.023,2,792.500,0.591,0.005,1.023,5,621.900,0.464
21,118.000,0.010,1.027,43,1307.600,0.929,0.006,1.022,3,844.400,0.600,0.005,1.022,26,661.500,0.470
22,107.000,0.009,1.023,17,1367.400,0.928,0.006,1.021,2,862.000,0.585,0.005,1.021,4,696.500,0.473
23,134.400,0.010,1.034,48,1450.600,0.941,0.006,1.029,2,923.200,0.599,0.005,1.029,23,747.800,0.485
24,149.200,0.010,1.055,350,1567.500,0.975,0.006,1.027,2,991.600,0.617,0.005,1.027,51,851.100,0.529
25,144.900,0.011,1.032,71,1837.900,1.097,0.007,1.037,3,1140.800,0.681,0.006,1.037,71,956.900,0.571
26,174.600,0.012,1.040,245,2070.400,1.189,0.008,1.031,3,1397.000,0.802,0.006,1.031,11,1009.800,0.580
27,181.900,0.013,1.040,128,2341.300,1.294,0.009,1.031,2,1661.600,0.919,0.006,1.031,39,1065.800,0.589
28,202.100,0.014,1.087,1293,2469.700,1.316,0.009,1.146,3,1705.500,0.909,0.007,1.146,1293,1159.300,0.618
29,208.100,0.014,1.024,16,2700.600,1.390,0.010,1.029,2,1862.400,0.959,0.007,1.029,16,1240.300,0.638
30,222.400,0.015,1.040,188,2845.600,1.416,0.010,1.034,3,2041.200,1.016,0.007,1.034,36,1273.300,0.633
31,228.000,0.016,1.043,162,3096.400,1.491,0.011,1.055,3,2286.600,1.101,0.007,1.055,118,1315.200,0.633
32,251.500,0.015,1.037,201,3177.600,1.482,0.011,1.050,2,2302.500,1.074,0.007,1.050,201,1371.000,0.639
