threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,18.100,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,18.400,0.000,0.600,1,5.500,0.028,0.000,0.600,1,0.400,0.002,0.000,0.600,1,5.700,0.029
3,21.700,0.001,1.037,2,17.000,0.057,0.000,1.000,1,1.600,0.005,0.001,1.000,1,17.800,0.059
4,24.900,0.001,1.009,4,52.300,0.131,0.000,1.000,1,4.900,0.012,0.001,1.000,1,58.200,0.145
5,24.900,0.001,1.004,3,37.900,0.076,0.000,1.004,2,4.400,0.009,0.001,1.004,3,38.800,0.078
6,28.100,0.001,1.063,44,48.700,0.081,0.000,1.054,1,7.500,0.013,0.001,1.054,44,49.000,0.082
7,34.600,0.001,1.009,2,69.700,0.100,0.000,1.001,1,6.900,0.010,0.001,1.001,2,73.900,0.106
8,39.000,0.001,1.063,41,75.100,0.094,0.000,1.002,2,13.100,0.016,0.001,1.002,2,78.600,0.098
9,44.100,0.007,1.021,56,652.600,0.725,0.008,1.124,2,756.900,0.841,0.001,1.124,56,113.800,0.126
10,53.000,0.008,1.009,28,830.900,0.831,0.010,1.024,1,992.500,0.992,0.001,1.024,23,120.200,0.120
11,60.600,0.015,1.001,3,1642.300,1.493,0.019,1.006,2,2050.900,1.864,0.001,1.006,3,163.000,0.148
12,60.700,0.014,1.003,8,1668.900,1.391,0.017,1.006,2,2093.900,1.745,0.001,1.006,3,165.600,0.138
13,73.100,0.018,1.005,31,2295.000,1.765,0.022,1.010,2,2910.500,2.239,0.001,1.010,5,182.900,0.141
14,92.400,0.019,1.002,24,2700.500,1.929,0.025,1.022,2,3441.500,2.458,0.001,1.022,24,192.400,0.137
15,99.500,0.020,1.010,221,2907.700,1.938,0.025,1.013,2,3776.000,2.517,0.001,1.013,8,198.900,0.133
16,150.200,0.020,1.016,384,3179.200,1.987,0.026,1.006,2,4100.800,2.563,0.001,1.006,2,203.000,0.127
17,153.700,0.017,1.003,29,2815.500,1.656,0.021,1.007,2,3557.500,2.093,0.001,1.007,3,221.700,0.130
18,180.700,0.013,1.008,45,2317.100,1.287,0.016,1.038,3,2834.200,1.575,0.001,1.038,40,215.800,0.120
19,203.900,0.011,1.009,104,1988.900,1.047,0.012,1.011,2,2354.700,1.239,0.001,1.011,4,243.100,0.128
20,203.200,0.009,1.004,13,1878.700,0.939,0.010,1.011,3,2073.200,1.037,0.001,1.011,2,287.400,0.144
21,215.800,0.009,1.020,119,1828.000,0.870,0.009,1.039,2,1894.800,0.902,0.002,1.039,81,362.100,0.172
22,216.900,0.008,1.011,64,1700.900,0.773,0.008,1.016,2,1655.300,0.752,0.002,1.016,6,389.800,0.177
23,220.800,0.007,1.007,16,1599.400,0.695,0.007,1.012,2,1498.900,0.652,0.002,1.012,3,400.500,0.174
24,264.200,0.006,1.006,4,1383.900,0.577,0.005,1.011,2,1217.700,0.507,0.002,1.011,4,398.900,0.166
25,300.700,0.014,1.006,12,3370.300,1.348,0.015,1.017,2,3667.000,1.467,0.002,1.017,12,530.000,0.212
26,323.200,0.028,1.025,587,7107.000,2.733,0.032,1.209,3,8315.500,3.198,0.003,1.209,587,751.600,0.289
27,270.300,0.044,1.011,376,11669.000,4.322,0.052,1.079,3,13985.400,5.180,0.004,1.079,377,1061.600,0.393
28,317.800,0.049,1.008,48,13699.400,4.893,0.059,1.046,2,16462.300,5.879,0.004,1.046,48,1163.800,0.416
29,310.500,0.064,1.010,60,18250.200,6.293,0.077,1.051,3,22178.100,7.648,0.005,1.051,10,1459.100,0.503
30,328.300,0.087,1.011,66,25914.800,8.638,0.105,1.060,3,31562.100,10.521,0.007,1.060,16,2002.200,0.667
31,359.700,0.101,1.014,317,30829.700,9.945,0.121,1.089,3,37547.200,12.112,0.008,1.089,317,2319.100,0.748
32,457.400,0.112,1.016,400,35308.700,11.034,0.134,1.094,3,42782.400,13.370,0.009,1.094,368,2659.500,0.831
