threads,avg_ms,ins_mean_all,ins_mean_ovt,ins_max,ins_count_avg,ins_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg,e2e_mean_all,e2e_mean_ovt,e2e_max,e2e_count_avg,e2e_pct_avg
1,11.150,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,11.100,0.000,1.021,2,8.100,0.040,0.000,1.008,1,0.700,0.003,0.000,1.008,2,7.600,0.038
3,11.900,0.001,1.045,3,18.250,0.061,0.000,1.000,2,4.600,0.015,0.000,1.000,1,14.850,0.049
4,13.700,0.001,1.145,80,42.600,0.106,0.000,1.049,3,19.000,0.047,0.001,1.049,7,35.450,0.089
5,16.000,0.001,1.185,40,59.350,0.119,0.001,1.042,3,28.100,0.056,0.001,1.042,14,43.700,0.087
6,19.050,0.002,1.141,28,84.250,0.140,0.001,1.019,4,37.600,0.063,0.001,1.019,28,58.600,0.098
7,22.900,0.001,1.089,8,64.450,0.092,0.000,1.010,2,30.950,0.044,0.001,1.010,2,45.800,0.065
8,27.400,0.001,1.134,10,93.200,0.116,0.001,1.017,3,48.100,0.060,0.001,1.017,10,64.800,0.081
9,31.350,0.007,1.032,10,616.700,0.685,0.008,1.022,4,678.800,0.754,0.001,1.022,4,118.950,0.132
10,34.550,0.010,1.036,73,959.900,0.960,0.011,1.025,3,1063.350,1.063,0.002,1.025,4,169.150,0.169
11,39.900,0.015,1.035,53,1592.100,1.447,0.017,1.040,5,1823.550,1.658,0.002,1.040,6,247.050,0.225
12,44.250,0.016,1.047,83,1788.450,1.490,0.017,1.070,4,2048.450,1.707,0.003,1.070,15,293.100,0.244
13,48.850,0.019,1.046,35,2379.700,1.830,0.022,1.081,4,2791.050,2.147,0.003,1.081,35,346.950,0.267
14,56.200,0.021,1.045,30,2853.050,2.038,0.024,1.086,4,3317.150,2.369,0.003,1.086,6,420.100,0.300
15,64.300,0.023,1.059,39,3238.000,2.158,0.025,1.107,5,3762.250,2.508,0.004,1.107,7,477.550,0.318
16,109.900,0.026,1.076,218,3814.000,2.384,0.028,1.140,5,4421.950,2.763,0.004,1.140,151,553.200,0.346
17,119.100,0.022,1.235,3393,3041.400,1.789,0.023,1.115,9,3794.900,2.232,0.003,1.115,12,523.250,0.308
18,112.800,0.018,1.197,3211,2780.250,1.544,0.019,1.116,4,3214.550,1.786,0.004,1.116,11,566.700,0.315
19,127.550,0.018,1.350,3215,2552.750,1.343,0.016,1.771,4,2891.800,1.522,0.005,1.771,3064,552.950,0.291
20,136.000,0.017,1.343,3147,2509.550,1.255,0.014,1.908,5,2651.850,1.326,0.005,1.908,3147,585.700,0.293
21,142.050,0.017,1.579,3190,2287.900,1.089,0.015,1.354,4,2975.450,1.417,0.004,1.354,3187,562.000,0.268
22,173.250,0.020,2.149,3307,2114.000,0.961,0.015,2.528,5,2851.200,1.296,0.007,2.528,3308,594.700,0.270
23,151.500,0.015,1.891,3263,1838.550,0.799,0.010,2.324,5,1991.150,0.866,0.006,2.324,3246,604.600,0.263
24,186.650,0.014,1.858,3351,1850.750,0.771,0.010,1.873,7,2200.650,0.917,0.005,1.873,3262,640.850,0.267
25,207.300,0.024,1.396,3331,4278.300,1.711,0.020,2.234,4,4707.500,1.883,0.007,2.234,3301,825.100,0.330
26,192.150,0.033,1.247,3343,6870.700,2.642,0.031,1.712,8,7697.950,2.960,0.007,1.712,3286,1066.950,0.410
27,206.500,0.046,1.347,3368,9192.000,3.404,0.045,1.561,8,11462.650,4.245,0.008,1.561,3225,1314.850,0.487
28,197.950,0.053,1.112,3383,13422.500,4.793,0.055,1.362,6,15237.000,5.441,0.008,1.362,3384,1671.650,0.597
29,229.100,0.066,1.062,3456,18015.500,6.212,0.071,1.143,5,20444.900,7.049,0.008,1.143,3398,2114.950,0.729
30,255.900,0.078,1.115,3406,21032.750,7.010,0.083,1.285,5,24133.750,8.044,0.010,1.285,3380,2244.350,0.748
31,252.900,0.086,1.102,4487,24255.850,7.824,0.093,1.135,7,28080.200,9.057,0.010,1.135,3224,2629.300,0.848
32,293.850,0.088,1.138,3639,24726.100,7.726,0.094,1.195,8,28897.500,9.030,0.010,1.195,3488,2818.500,0.881
